merge_hash,subject,non_merge_count,non_merge_hashes
c7e29f4b68be8d77333a707757427e8b1d516935,Merge pull request #2825 from deepseek-harness/codex/subprocess-native-containment,110,05b67894254929a816527a34b24db47da45285bf 0652b7b4d7a2955838edab1ce35e3825c8f38606 07408ff0f127baddfc2236100ec17c68d15c0e91 0c80f9e7a1229c35bd58e4beca0783973ec8fd7a 0f3db7990294ebf71ce1d38fa248546ea2a102a8 1250b41054fb7916f076e22885fcb1386c40d76d 13f3b2c1727f0ba6506645ac992705e8be682325 14c16012fb9b991a8ae8030e3c4cdcc615d57a01 153f1579e1084ec5e896bd9c74a1f07eb44ebf9d 166004a6a8cb0e88e9b2d848d775283661b257e5 1760649ba7489c6a6d22d8ef550c79784dcb63c7 1ada79af816ad408e13306cda63989093636572e 1fc04feb771d99929e741ea7887a87faf2fb4d6f 215c8c813283b9bcdc75d984761c8e5847f014b2 21820b6816930d26fd285115b38d2336294e0bf6 23af4410f60df2c441efa0f8e9899eeb2517a177 2660635e6302e1b0fdef1e827a984d28c049ceaf 26969588b7f3960c2857306f024c586557b9bf44 273c2847e536e4a4710b2e7370660c48e6282eed 29c68b6da90af0b00d2315931741c08df668c6ce 2c0ebebdf8967ab56d3cea6e666629e0f320e76f 32b2b2409915ffeffaa086e8a1343b9aa37f7433 32f369c3a01d2961836fdd751526f10b9a5703f3 36db13dfb3e2f08e67cb0df01a8548cc79b01352 3acb84744235512881efed577ec3eb697885365e 3caa9e4f5a6816cad60cde0e1757b57161379cac 3f2f381209ab4db701a8275bec6ed66d7952fdc0 40279aea1708ac3d06e7744814050cbe7971fa64 423412b7bf4b31054a102b1bc8f889f2f017ea94 436f9e96861271d464ac2d321030683477b80b2d 43b093a502eddf54fb62b3a22c3df1ef3381fa9a 4c164cd163a7712143b7e5a78a3616b56c7fd559 5aab7930457c6b3a3c6256e3e7a773b996b0381c 5b215932f821592daee048e20788b01dc3dd8f5c 5e3eaea742b06a2f69803c65c887396e7656bcd7 60999be6023c695cf9e95e0ad37040e83157068d 60c729250e5059e5f447058b8c012bac90ef5ead 60dd357a02b1831ac2c59b1280f949d2225206b8 610ed618e97141ca3534c1c99690abb6a1fac695 635c35991ce18ac09c4237e2edcfd4396ee48c11 63b038e469c7a5f680fa5927bc29c42eab76091d 63df2b31a70e181c1fe61046c9f035c6ecb6b0e4 6532fff45861698e50885b8b24fb6892400c77eb 6a34a0dd4b2f8d454337cc496098c8874ccc9598 6d49ac2ef692f51715ffec4a7b7ca1cf87c382f6 6df3ef4f97a145adef0494118012d33097dad945 6e1b8eda773e0edf0a4b40ed363553e8c4f2f910 6e7b152de7e3d4c5e19b974220e8dc9b1da977f5 7185a62d58dbcde3c327d4c8c3f109990125dc06 71e27e4667c97c901c6ca5d145e4a35a1d212be3 7228c821b7a881d6cadead1033294733354ffb72 7fec86d6a1080259eeb787b688f182bb67d02006 81257defd2f014489c09f7aa5e3680a3b497fe96 81374783d3ee6c2a3ad95d6ed3ead8af1bf71895 889cbd45f1c4da1114366a4d793d15db2f11f324 894f6aeb8ad455308465354ce9474e8f287a322d 8b81d77d54ace076659247a8f848bb03f6fb2dc9 8bb19f8f7fde89c000aec038aa7af7a5a7b5239b 8e9bac4a27e70dc51153331cbb8b60d46fc3bb38 8ef28f76c079c381ac506b04438791f257931537 923f919b49a6cdc3923c98f62225de011eb5b451 93c11689e71e562e4950e604e93e913afb16af67 975afc9e474614bda566950f1162aef1aea48737 97e0c9607d8fdc7d4599fd9bedc9dcab078cfedd 9aecbad9dd0770b82c4a6b8d373174a7383e9354 a0bc2ea803c80976257df7498e62f6ce35db16c2 a416b13eb5d2be8f0791954d04e1f4f33902ff87 a825b8d0427f8312c600ded8b78964e9ace18c0b a95f0b368f782e20b54df4e9880b589d9bc10ae1 aaa5117ebdd91ee946d0f6229ee276a080fedb17 ac1a5891c2faa100ba533cc1f7b88338ae19d583 ac69b1e0c43590eb932b32a0c690b3e93d45e2f8 aca5c0cb2b76a17978b6b05f7848a7600d373573 ad44ba547a8d4ee34c94ac964bf71e7876e173fb ae77bc0b2f67b5a06b74267754cda060e20e5b2b b03e52fab08ec2c84c2d0dc2b46fe69730a0c0d4 b25e790e369ca65623febe68bdb8ebb07e635b45 b3fcca95985f450b52faa7c7671d6b2313560f66 b6dc88be519a6a769453d2730188c86ee9706a1a b9c0028f95100ccade815d937505302227eba14f bc681d7a542d503102939897143d508d72425edc bde6a9a04155c22e76cde426853a708ef4b151a0 bf5a8e42a37d2f2124991826182c560aef26058f c0e7b9816999c64f4147a35fb143c0f7b369cbd8 c302bedc3a1d313add3a3127b46438fcab6ec1ce c7d228c737a6a0485a30a0e1da605641fd451566 c7dc4d3833dd14322433a6a085d09983608e6ae4 c8393a2798b00ab8eca772034a9144fd6e8f60ee cf6f25d283baffe0a1fbf1cfa8a88f2d0d04e444 d778e83b2bfa4c3add8b9deada1dafbdc820ccf1 d82fd86c5c949f23e9c278eb3d072da81ef4281b da042b8e1014619d3ed20e476c79f06025ce7785 df00bb9c448e85ceb93c07e2aea266b5d0acf5ab df8e3d7c373bad8afc2dcaaf62c674db657f60fd e5dbccce8c2122fd8ec24b1cb809847a40e557fb e6bc1f2e1d90dc2a36ab25a5995ebde82a75de6c e70405847c39331e72a9ebde90a55a248d10b9cd e82e5ffd7a1717d2b9e1f565017a814251de6eb2 ea7de60840107e903f4d2be2282efd6d50bea75c eb17028720b98ddd4212a2c7b57600903200e0ff eb60d74155e8e293e06b97d0442a91855797f746 ed25d4e15bb28cca5c8905befaabd85518b3861e ef0815db7f33f9da6dddc75a249ad91c1bde5a8f f6a56d4882888daed62ec3f6ccb95e7f51ead88c f72ce2299ac08c153b8b04b83e5e605463b917d5 f913c813d2e975e84cce519060ddddc22887b5cd fa8b83816e886d6d1d5f9bd29704e7a8ec03a6c5 fc19a0a3fa8beecd4a22348583574cea302d8bef ff413cfe5e98341f05c7c2df0eadcb5cf6405d99 ff6a49660fba5514f447066f687746b231e669df
626f21dabd6e25e3c016bda625b390ab91aa6384,Merge pull request #2735 from deepseek-harness/codex/remove-knip,1,907c6334c112a976d7183734fc47c73bf6cb6856
5e52e7eaef090401c763823751e2c506745ebd0a,Merge pull request #2555 from deepseek-harness/codex/agentteams-web,9,194facabdba04e8a43b3d2c031bf98d6bd9db130 36588ade22a55040e47626571b12f5b0e8ae2101 61dea35bd29ef3a08dab16a84ad3447bc94655fa 806642b064251640e14bb8aebd47ce49e9e736a2 80e033efe5d4587bb72bac1fac7c19f1c90d7c10 88521616623136209e6d4af7f84efb519e63d629 c6cab2aadadb929854a497d48e94730f2453686c d0eb02c2065e527b73941b77cc3b6ecc3c24378a eadd5df82b5c8ca79e41427a8c50434a0eb19064
0eccabd5c31b960f7f3aec82efea523cef319c2d,Merge pull request #2556 from deepseek-harness/codex/agentteams-cli,8,1477d5b9efe79bf354ca67cc257666f374a73419 2c16c20d2a93282b323c88b43b724a4769ec0ffe 42378a987e3570c0196dcda5433de411b49dfe96 6e4fabdc1f329bbc34ab3eec671a0cf68ba87ca0 a28f543ae4449e2a3389f1a505f2c58245c15078 a6c274e250e0f5a07d33fc3226bcd7b3bfef392b d97868b94333cb55fb88add556c82366d52ad839 fd53e479b48b08981a0a1836046a585f6958d4ff
a47535ceab0129fa1e920d3790eb140560110c9f,Merge pull request #2871 from deepseek-harness/codex/dsh-sdk-minimal-diagnostics,16,08aed20139dfc56ab7852244e97d25cbf47d3f2f 09fcf48ad88c4e550208c15f8cbad3a921a23174 1c5305ca22d2c1e0ec5ba8fd1c321f5f7f8367c5 30cd11e698b7e2795b84e53447f098d8f401c938 569bf3e5e080d329f411b085d9da4a3223c3db8b 659749dc09efb196c8684ad5cd06108861294851 75b8eb08ba4936af9e1f6a495d9ddbbfa165d589 7e234bb5b9d5a3b0c21e1e3dc08dddecbadcf8e1 847c13a11700e3222c58f00fa96a5e2cba29cb0e a633c19b027464f0079ada185b3e7982f1443eb4 aaa85cce01195fc35ab14766d5d66b83ef5e3cd7 b88a35d506d8ba271a3e2616e01d29c0cccfcc9a b9cbcf8e2b73fdd9a9375d290ce697ca3a0b320d ba0d7dfdca53356c0dde38b98a682311b0f65bb0 bbf1c6e842c52f615abaa1a1f374930411332537 ee50ee088d09915c68d4377cc8d20908d21eea4f
be7e746bb7f7e7ea5e893b1f21bbb4b03e15f618,Merge pull request #2873 from deepseek-harness/codex/product-subagent-runtime-refresh-codex,7,55a8c2e9f2c50ae2680c71229c4127e2a1a9ed13 7c62fa127bba63477f21618c7a435c91d1aa4578 97e3a175ffe5b3a850a00aefdcab3222d083c9be bd6577072ff1549985fee31f774827a3e99c9913 d495089ff7a020f6f933fc4cee713e65c2329cd6 e2315e3b149ff8d06e32675796c0a2a6bbe4a0fb fe8a961348585c5cd45bf8bad039ba35f49541ff
c4e0b3b1e73ce4c8ae74595bb6855bf4774ca16f,Merge pull request #2587 from deepseek-harness/codex/history-packed-transport,16,04c0758fe9cff8941658d699244ae76f13ba9ebc 055c505c6d84269459c9d306496da324e05b44f3 1ec75c90826bd311cdea00969c405401aa9e90ba 20d55b2c410606854d3f300865b2e944f49e97e9 27b8d6fe97bdbeacfd25bb89c001967f772b3e5f 3511796fa69bbfd8253d5809b891c026c9085636 4f02717ebce2f1c367789bc2a265c516ddaba788 5171e107e0f3dc993b759fe3e3336387c012f33c 86e79b5886dff2f367ba630f65c3ecd6743056cc a47e80678e34aae9f70e8d6826e909a972937b8a adddc4dea69acc8738bd05777748d30ef452b9d4 d3efd9c35d6f35394d6f50b916b66f3272202a53 dec9732d1f15526c0fbc8e1e1e473846213070f5 ea282f571012e74d29e02375f49affc0803d875b f2ca913756b190f1894a91d1a1b7ea97f1fd0cfe f37bb35a97c4b3bca565e74306729b388aabd332
b4b18715ad064180473a9e38aa72c46456872b79,Merge pull request #2868 from deepseek-harness/codex/dsh-sdk-dynamic-subagent-routing,12,096ae14db290d453016ae59c0cb973220d5ca05a 0aafe0f8f841c37bd952431ddcb5ec0ea6f6c861 1044db218d054915ae0b31cadb18f716a86d97cd 3c79979d1dba53787a0111859cd386e7379fa25d 40f6205cdfe7de566bfc074513daaa5a6f426b39 4d54bfdff3159d4a0d1a016ebd4c201f2c7e9701 54e908df528f69f9907732a1a1073687a4998c5a 57eba4341c3223f6370906e614da1a75385c9941 9a6c94cb2f5e055caad1972ba1fe8ab9f05c0021 b274f5e6069cffcc94f861285a4d0ee974edffe6 b9cd0d0c9373232e1c5450d0d408933bfdfea41d c97f985caa89137a89d4272abc58c902988cb718
24e7d55ec62d51282569e15abd83e09481b9a450,Merge pull request #2869 from deepseek-harness/codex/product-subagent-runtime-refresh-claude-code,5,56067f997292e07f797a0ad8a6ab44dd13be136a 6a02e2c4a95fc149050f27408e867d283a1aae38 7d30a39619635efaa2ed6620a04999cb88762142 a043395c2db684239590eaffabac8246568a9ac0 f76cce2fc21f7e8ef2d451b20b1db66feb76c177
79fcf8481b87a11ac350cf9fc43d9e4d362aaf62,Merge pull request #2870 from deepseek-harness/codex/acp-minimal-diagnostics,12,075108dc08150e6bcd3d4b0f9815b4d94a0df40b 0dcb514fc6c1bd4305b4bd3a784d5732d9a42d51 2a060adfa828fa126b563f4f115033f2605e6764 3900de296d766e595d2c536ce96aa7084e13dfe0 5c27df5ed711cf2f491498b47c949da9f6eacd5c 5e1494ff171ed5e2c3b730e1dec2b77864d3a9dd 67e038ab3afc9d40e677383508ad5ccd7c66c038 8dc78528818b403659c95b8c4dbb9c90af241825 9a6f5cf7ff8f45a4c002d397599fcaf8ad24be44 d6de6bb0cbaca9b904b2a393ec08a8fda0eb7f93 d90003b4e0c428cc493fb44f52cc3098a3d43379 dfb36080d8a2500794f8693bfcbf8b96db34d545
