hash,parents,parent_count,subject,category,conflicts_block,message
1b7b50bbe141cfd4d74fad9a4967e24d81812364,80badab556d393d58f5facca57095228ef6f278c 9ccd9b063415323dc97d4b891b6a85bef81752a5,2,Merge remote-tracking branch 'origin/master' into worktree/web-sidebar-terminal,远端跟踪分支标题,True,"Merge remote-tracking branch 'origin/master' into worktree/web-sidebar-terminal

# Conflicts:
#	apps/web/package.json
#	docs/config-catalog.i18n.yaml
#	docs/config-catalog.md
#	docs/event-producer-consumer.i18n.yaml
#	docs/event-producer-consumer.md
#	docs/event-producer-consumer.zh.md
#	packages/api/remotes/src/client/index.ts
#	packages/e2b/subprocess-e2b/README.md
#	packages/e2b/subprocess-e2b/README.zh.md
#	packages/e2b/subprocess-e2b/src/index.ts
#	packages/e2b/subprocess-e2b/src/terminal.ts
#	packages/e2b/subprocess-e2b/tests/subprocess.spec.ts
#	packages/e2b/subprocess-e2b/tests/terminal.spec.ts
#	packages/mcp/mcp-resources/README.i18n.yaml
#	pnpm-lock.yaml
#	scripts/verify-package-readme-model-experience.ts
#	snapshots/session/cordis-inspect-jsdoc/session.v3.jsonl
#	tsconfig.base.json
#	tsconfig.client.json
#	tsconfig.host.json
"
1de37ddc2b1fbd782ad5551c3d445a9acff4d5bc,6b19923ad5fd0e94105a0bfe18861b4ba2ac1d71,1,test(web): follow the settled-loader startup audit,非合并,False,"test(web): follow the settled-loader startup audit

Loader settlement no longer rejects on a failed optional entry, so the Auto
rollback scenario reads the conflict from the startup audit. Refresh the Auto
denial golden for the merged composer chrome.
"
a326698ee752826c064319ece5fc7a534f7b2510,e5e9037dfbff854b7f34558154b1d285f391d073 20106ecda8f9cd46d2d0ce074a7a60c384b84185,2,Merge remote-tracking branch 'origin/master' into worktree/llm-deepseek-messages,远端跟踪分支标题,True,"Merge remote-tracking branch 'origin/master' into worktree/llm-deepseek-messages

# Conflicts:
#	docs/config-catalog.i18n.yaml
#	docs/config-catalog.md
#	docs/config-catalog.zh.md
#	packages/llm/llm-deepseek/src/adapter.ts
#	packages/llm/llm-deepseek/src/common/request-pricing.ts
#	packages/llm/llm-deepseek/src/index.ts
#	packages/llm/llm-deepseek/tests/adapter.spec.ts
#	packages/llm/llm-deepseek/tests/image-tokens.spec.ts
"
fed65b7cad5ab86df46bc583f0455bf59840d55c,6adc878785b9b56043f170b29d3c5903c08f1f6a ef0041b3510fa531dd150c4466a3a226f3f168df,2,Merge master into the Auto review branch,其他标题,False,"Merge master into the Auto review branch

Resolve 36 conflicts across source, bilingual READMEs, and generated
documentation: keep master's command-identity and popup APIs, RemoteMock
test infrastructure, and regenerated catalogs; keep the Auto review
catalog, slot, dismissal, and snapshot content.
"
dd7ba51a13059eac17eebb91808b3b07e936cb43,11ca8020cdf3b367168536a1b343ac2348c08a95 1f56a2c0e012977e9f70708f7d01353fe35a61b5,2,Merge remote-tracking branch 'origin/master' into refine/connecting-ui,远端跟踪分支标题,True,"Merge remote-tracking branch 'origin/master' into refine/connecting-ui

# Conflicts:
#	packages/client/ui-primitives/README.i18n.yaml
#	packages/client/ui-primitives/README.md
#	packages/client/ui-primitives/README.zh.md
"
bc99474e876dc60a929b411f8f50d23c442c93f4,59c1ee7c82cafa5c6e043dcce886bb4d26208cdd c291e7961a515f6d7af9304e7fd1d257929aef26,2,Merge remote-tracking branch 'origin/master' into worktree/llm-deepseek-messages,远端跟踪分支标题,True,"Merge remote-tracking branch 'origin/master' into worktree/llm-deepseek-messages

# Conflicts:
#	packages/llm/llm-deepseek/package.json
"
ffa536712a798ccc4c1a33f59a8320ab13cf550f,ba30b73f7b387d153ee46744ad1e8babd5d5debd 3ece27847c8f4014034422e457d2859b82a3e8e4,2,Merge remote-tracking branch 'origin/master' into worktree/issue-3929-v41-request-image,远端跟踪分支标题,True,"Merge remote-tracking branch 'origin/master' into worktree/issue-3929-v41-request-image

# Conflicts:
#	packages/attachment/attachment-local/README.i18n.yaml
#	packages/attachment/attachment-local/README.md
#	packages/attachment/attachment-local/README.zh.md
"
31f731cc6f540318783427cdd2e92b8eff746c55,b5e7fca4a53892b7c26eaca7c7d1fe1b91229fa1 8f85739d7bad21584633a1dd5ea15a0c39d75a1d,2,Merge remote-tracking branch 'origin/master' into codex/pr-3440-resync-20260908,远端跟踪分支标题,True,"Merge remote-tracking branch 'origin/master' into codex/pr-3440-resync-20260908

# Conflicts:
#	docs/subsystems/llm-streaming.i18n.yaml
#	docs/subsystems/llm-streaming.md
#	docs/subsystems/llm-streaming.zh.md
#	packages/llm/llm-deepseek/README.i18n.yaml
#	packages/llm/llm-deepseek/README.md
#	packages/llm/llm-deepseek/README.zh.md
#	packages/llm/llm-deepseek/src/request-pricing.ts
#	packages/llm/llm-deepseek/tests/request-pricing.spec.ts
"
25f95302fd8bc601d1779ea1f791e39a6c1293c3,a69933d3e5684923fee21002a4c69c41b456884a 40606d155892d987bdb54bb2c2023b4d9f4691c2,2,Merge remote-tracking branch 'origin/master' into turtle/issue-3848-headless-machine-readable-run,远端跟踪分支标题,True,"Merge remote-tracking branch 'origin/master' into turtle/issue-3848-headless-machine-readable-run

# Conflicts:
#	packages/bundle/headless/README.i18n.yaml
#	packages/bundle/headless/README.zh.md
"
a38c302e4a8e5b1375f7339093893aee1c66a337,d225dbba5034298505246fa81625d30e3db994a4 aa8262ec091698bae9a6b04773a6b5b06ad4aef2,2,Merge master and resolve revert documentation conflicts,其他标题,False,"Merge master and resolve revert documentation conflicts
"
710d7b5c33da3e92cd2b6d69c3c2107fea0fb743,20374de37d2e0c6e4694ac3603ea4045a58bdc84 8ce9b21ea9419da7b5eaec486ec55712516cd50a,2,Merge latest fix/bundle-speed and resolve desktop documentation conflicts,其他标题,False,"Merge latest fix/bundle-speed and resolve desktop documentation conflicts
"
081e054c548e1d662d75c581a3e1d7d4d442ba22,5c82aa9371124a3a07eed26c8d93d180513094b3 2377c272a8e839e0a84c9f0e623b867a1dce2014,2,Merge remote-tracking branch 'origin/master' into worktree/manifest-plugin-metadata,远端跟踪分支标题,True,"Merge remote-tracking branch 'origin/master' into worktree/manifest-plugin-metadata

# Conflicts:
#	packages/boot/app-boot/README.i18n.yaml
#	packages/boot/app-boot/README.zh.md
"
f570a9d8c642da8d0d5a6dd74eb230fafb6644e6,e1f09116187d64cc1b800f838d4d3a8db53a6250 2377c272a8e839e0a84c9f0e623b867a1dce2014,2,Merge remote-tracking branch 'origin/master' into dshw/pr-deepseek-harness-deepseek-harness-3869,远端跟踪分支标题,True,"Merge remote-tracking branch 'origin/master' into dshw/pr-deepseek-harness-deepseek-harness-3869

# Conflicts:
#	docs/config-catalog.i18n.yaml
#	packages/core/system-prompt/README.i18n.yaml
#	packages/core/system-prompt/README.zh.md
#	packages/core/tools/README.i18n.yaml
"
eb0a666415e17de22932008adc11cdffc1f2c94d,12ba944f549229b2c64555f9b8368843d5d139a3 2377c272a8e839e0a84c9f0e623b867a1dce2014,2,Merge remote-tracking branch 'origin/master' into dshw/pr-deepseek-harness-deepseek-harness-3828,远端跟踪分支标题,True,"Merge remote-tracking branch 'origin/master' into dshw/pr-deepseek-harness-deepseek-harness-3828

# Conflicts:
#	docs/config-catalog.i18n.yaml
#	docs/subsystems/session.i18n.yaml
#	packages/core/session/README.i18n.yaml
"
80badab556d393d58f5facca57095228ef6f278c,12d3be3514556f6d28e63680b70dc1439bca71bd 2377c272a8e839e0a84c9f0e623b867a1dce2014,2,Merge remote-tracking branch 'origin/master' into worktree/web-sidebar-terminal,远端跟踪分支标题,True,"Merge remote-tracking branch 'origin/master' into worktree/web-sidebar-terminal

# Conflicts:
#	packages/api/README.i18n.yaml
#	packages/api/README.zh.md
#	packages/e2b/subprocess-e2b/README.i18n.yaml
#	packages/e2b/subprocess-e2b/README.zh.md
"
12d3be3514556f6d28e63680b70dc1439bca71bd,cfdfd7ccb9fe234ba99749b288d920dcd4064611 183f08e9c6dde7e36cd2318eaee70b0da08fb35e,2,Merge remote-tracking branch 'origin/master' into worktree/web-sidebar-terminal,远端跟踪分支标题,True,"Merge remote-tracking branch 'origin/master' into worktree/web-sidebar-terminal

# Conflicts:
#	packages/client/ui-sidebar-right/README.i18n.yaml
#	packages/client/ui-sidebar-right/README.md
#	packages/client/ui-sidebar-right/README.zh.md
"
