hash,category,reason,matched_lines
16a7ead9aba0bbdee10a6a8cea8e292bd20e0e60,merge_context,分支合并命名或合并上下文，排除独立评审计数,Merge remote-tracking branch 'origin/master' into codex/pr-3111-review
3031cb0e33004dd67aad27caebd7f6563095cb25,merge_context,分支合并命名或合并上下文，排除独立评审计数,Merge remote-tracking branch 'origin/master' into codex/pr-3111-review
fab41be07e7bcf50a3d4b363882d7e4c441f7635,merge_context,分支合并命名或合并上下文，排除独立评审计数,Merge remote-tracking branch 'origin/master' into codex/pr-3111-review
d495089ff7a020f6f933fc4cee713e65c2329cd6,product_or_ambiguous,评审对象或产品功能涉及 Codex/Claude，不能确认评审者是 AI,review fix: align Codex policy evidence
e2315e3b149ff8d06e32675796c0a2a6bbe4a0fb,product_or_ambiguous,评审对象或产品功能涉及 Codex/Claude，不能确认评审者是 AI,review fix: tighten Codex failure ownership
7d30a39619635efaa2ed6620a04999cb88762142,product_or_ambiguous,评审对象或产品功能涉及 Codex/Claude，不能确认评审者是 AI,review fix: simplify Claude diagnostic evidence
c7dce0e784ff154c159ba3317b4273e08edde21d,merge_context,分支合并命名或合并上下文，排除独立评审计数,Merge final Claude review evidence into Codex layer
62da706b64b15b31a0a960d8987d6cc9d93950d3,product_or_ambiguous,评审对象或产品功能涉及 Codex/Claude，不能确认评审者是 AI,fix(subagent): address Claude permission review findings
061100f6f2cc1608a2c73811d74382f9d92b27d7,explicit_ai_review_reference,提交信息明确将评审或发现归于 Codex/Claude；仅证明记录了 AI 评审参与，不判为 AI 编码,docs: fix four factual errors found by Codex review round 1
2cf637480ce3de8a2b813a0abc31ee183eec1b50,merge_context,分支合并命名或合并上下文，排除独立评审计数,Merge PR1 review fixes into Claude provider
46db6088436d948aaee311f68151aa5d2d095fe1,product_or_ambiguous,评审对象或产品功能涉及 Codex/Claude，不能确认评审者是 AI,Align Codex provider review evidence
36b562e4e95da11ce6996595826d37c870c368fc,product_or_ambiguous,评审对象或产品功能涉及 Codex/Claude，不能确认评审者是 AI,fix(subagent): close Codex provider review findings
30b9d0464a0b66cb1a1190f62043db6a5eb519dd,explicit_ai_review_reference,提交信息明确将评审或发现归于 Codex/Claude；仅证明记录了 AI 评审参与，不判为 AI 编码,fix: address codex review round 3
13631134aa422af1e670808e84892958d6b179d0,explicit_ai_review_reference,提交信息明确将评审或发现归于 Codex/Claude；仅证明记录了 AI 评审参与，不判为 AI 编码,fix: address codex review round 2
4bd98407a98d2c570508e3b1de588a8cb661383d,explicit_ai_review_reference,提交信息明确将评审或发现归于 Codex/Claude；仅证明记录了 AI 评审参与，不判为 AI 编码,fix: address codex review round 1
7428cdf41e8680d949ae173f3fd6f39b9107e56f,explicit_ai_review_reference,提交信息明确将评审或发现归于 Codex/Claude；仅证明记录了 AI 评审参与，不判为 AI 编码,fix(subagent): address codex review round 3
cbaceb73a98a6ef41c06d72a186f1911fb64c151,explicit_ai_review_reference,提交信息明确将评审或发现归于 Codex/Claude；仅证明记录了 AI 评审参与，不判为 AI 编码,fix(subagent): address codex review round 2
c485b6136d6411c898a3b2e1fad8c559daf1140d,explicit_ai_review_reference,提交信息明确将评审或发现归于 Codex/Claude；仅证明记录了 AI 评审参与，不判为 AI 编码,fix(subagent): address codex review round 1
9e5ae0d12e8582910a81a7e2fc2fb481670d3082,explicit_ai_review_reference,提交信息明确将评审或发现归于 Codex/Claude；仅证明记录了 AI 评审参与，不判为 AI 编码,fix: address codex review round 3
4eda48d002f3d9cab151aa5de8a2e2c09a41dbf8,explicit_ai_review_reference,提交信息明确将评审或发现归于 Codex/Claude；仅证明记录了 AI 评审参与，不判为 AI 编码,fix: address codex review round 2
71570d7becc259365705868219163c23e14190ff,explicit_ai_review_reference,提交信息明确将评审或发现归于 Codex/Claude；仅证明记录了 AI 评审参与，不判为 AI 编码,fix: address codex review round 1
43d81b67cef2a957afd2cb0646894757f3f28315,explicit_ai_review_reference,提交信息明确将评审或发现归于 Codex/Claude；仅证明记录了 AI 评审参与，不判为 AI 编码,Codex review of the acp-only fix found lsp-local carries the identical
c9dc0977491dfd82bf7b4836e383c6b02f0aa819,explicit_ai_review_reference,提交信息明确将评审或发现归于 Codex/Claude；仅证明记录了 AI 评审参与，不判为 AI 编码,docs: fix NIH-audit review findings (Codex round 1)
e678db440e3818cfbb760db7e73aded5c4f7d6c2,explicit_ai_review_reference,提交信息明确将评审或发现归于 Codex/Claude；仅证明记录了 AI 评审参与，不判为 AI 编码,"Codex re-review (A): AGENTS.md layout tree, the architecture capability"
fb0d4ba56434f01cd71efb1e9685702fcd3ae708,explicit_ai_review_reference,提交信息明确将评审或发现归于 Codex/Claude；仅证明记录了 AI 评审参与，不判为 AI 编码,fix(process): close review gaps from Codex round 1
3b911359232d784ca336c07d54b1bb7c2e893d66,explicit_ai_review_reference,提交信息明确将评审或发现归于 Codex/Claude；仅证明记录了 AI 评审参与，不判为 AI 编码,Review finding (Codex round 1): abstract erases at runtime and
e20545c9eeda8ac2e5418146aa784a263b7b659d,explicit_ai_review_reference,提交信息明确将评审或发现归于 Codex/Claude；仅证明记录了 AI 评审参与，不判为 AI 编码,Review finding (Codex round 1): abstract erases at runtime and
ec38cac8efb4a95e8cda44839cc23999ce767be8,explicit_ai_review_reference,提交信息明确将评审或发现归于 Codex/Claude；仅证明记录了 AI 评审参与，不判为 AI 编码,"Review finding (Codex P1), pinned red-first: the marker was tied to"
88f393332752fdd93f5b7f0b0e70a2113614280d,explicit_ai_review_reference,提交信息明确将评审或发现归于 Codex/Claude；仅证明记录了 AI 评审参与，不判为 AI 编码,fix(docs): address Codex round-1 findings on the review-fix stack
26bfd37da0422898988d203148a32e7d056eb2fe,merge_context,分支合并命名或合并上下文，排除独立评审计数,Merge commit 'refs/codex-unblock/20260723/master' into worktree/pty-review-fixes
2434afd2efabde721f9fc513d47b55b2824cdf92,merge_context,分支合并命名或合并上下文，排除独立评审计数,Merge pull request #450 from deepseek-harness/codex/invariant-service-review-fixes
317f740dc268d2039fae641ade8a47ce7efabc5f,merge_context,分支合并命名或合并上下文，排除独立评审计数,Merge pull request #447 from deepseek-harness/codex/pr239-plan-mode-review-fixes
fe42baeaa33dd192c359067f22cbd15ab53d7700,merge_context,分支合并命名或合并上下文，排除独立评审计数,Merge codex/invariant-service-seam into codex/invariant-service-review-fixes
7eee0b48b763529a1debc62f45997a6c9fea1a28,merge_context,分支合并命名或合并上下文，排除独立评审计数,Merge codex/invariant-service-seam into codex/invariant-service-review-fixes
4466d582c4eb42f6e587aa8de012824c5425dad1,merge_context,分支合并命名或合并上下文，排除独立评审计数,Merge remote-tracking branch 'origin/feat/plan-mode' into codex/pr239-plan-mode-review-fixes
167a5e95e042b0d4760072e7599b2c8bb30e4d80,merge_context,分支合并命名或合并上下文，排除独立评审计数,Merge codex/invariant-service-seam into codex/invariant-service-review-fixes
6aa71aca94b8e0672c0b3577a1026705cf019d00,merge_context,分支合并命名或合并上下文，排除独立评审计数,Merge remote-tracking branch 'origin/feat/plan-mode' into codex/pr239-plan-mode-review-fixes
a19dcf40ef51753ee47238eaeffe127a318e0fac,merge_context,分支合并命名或合并上下文，排除独立评审计数,Merge remote-tracking branch 'origin/master' into codex/pr370-review-20260719
2bc4791f84f3f159cb8e9e9597dfe14b2409e149,merge_context,分支合并命名或合并上下文，排除独立评审计数,Merge remote-tracking branch 'origin/master' into codex/pr370-review-20260719
f756fcb7d36e1f6148646db80db70395fbf724f2,merge_context,分支合并命名或合并上下文，排除独立评审计数,Merge pull request #395 from deepseek-harness/codex/code-review-prevention
8733f365a427d82e3e7338c455983e35a1c4c930,merge_context,分支合并命名或合并上下文，排除独立评审计数,Merge remote-tracking branch 'origin/master' into codex/code-review-prevention
38b7275eb1d242ed6c9dffab4a5e8f8b8df84f16,merge_context,分支合并命名或合并上下文，排除独立评审计数,Merge pull request #393 from deepseek-harness/codex/code-review-human-principles
2db406186107354fc1aae2879e6563b067af10fa,merge_context,分支合并命名或合并上下文，排除独立评审计数,Merge remote-tracking branch 'origin/master' into codex/code-review-human-principles
5510b4ec06a6a6fbab6ffe49df065f2524cc55d7,merge_context,分支合并命名或合并上下文，排除独立评审计数,Merge remote-tracking branch 'origin/master' into codex/pr357-merge-review-20260719
