hash,subject
0009d1369330a71e252146afc2e2643fdde08848,docs: refresh tool catalog
000cb1a0dbe46b8e3ee679ce8d23c8b9ebe22076,docs(subagent): clarify unattended review contracts
00462f80a6ff59604e44b71446bb9b2427a212c8,docs: expose agent ownership in Cordis catalog
00af8d4f77d7c5982a046228a1c96243f6b8820d,test(i18n): model reserved paths portably
00c466437033206f631d6ba60569cae9e7d336c9,test: refresh translation prompt snapshot
00cc600b148dcb4a1862792a4c2a43e2ff9ecc12,fix(snapshot): canonicalize macOS cwd tokens
00d4349eb4fd2e37e9a610f4dd2dad9024aecbc6,feat(client): surface pending session interactions
01257351d984489706ec9d296e13ad1073d0b018,fix(ci): recognize root dsh script
0129063ae7d45e0eedbee9b2055b98cfb13e5d95,feat(goal): add model-facing goal tools
012bb0a54977f1c0c1167fdc58cab634b3f7a88c,docs: address review feedback
0135b34df7a0a55f19d4a4150fbd4805183c1d9b,fix(infra): map directory picker auto to source
015ad420af375aa17280962d15265351997ccdcf,fix(goal): align human commands with blocker reasons
015ba14bae3bcd817b88636d375add27ee31d6cf,fix(llm): preserve serving retry policy
01704b9a3ab7008664be6599e003e4eae499dae1,Add Codex DeepSeek credentialed e2e
01ac16b04b76c264428b09995896b685d57782a6,fix(mode): guard suspended retry flush disposal
01da49a3aba3ee285784262af847988f70935ad9,refactor: prune code runtime surface
01fa4ceb6e44818b6146991332cef6853218a319,test(workspace-context): cover pre-resume tool reconciliation
0234a01ac9b67d82c2d2b35dbd71804f38250438,test(session): preserve surface boundary coverage
0236a123242f8676fe754450cde6c17ff321dde4,refactor: prune core tool and prompt surface
027970043c30048048433fea95e7e79a55bd7a4b,docs: document package model experience
02a61d3a25c32425f30a94f4fc3e6674dd79843b,Clarify the platform-specific PTY path
02e4100f2a09253dd967ee94c2ff572ffaf0669b,fix(subagent): normalize Codex payload diagnostics
0301b7fda86d9f52fbc913d177201dc4c220528e,feat(gui): add write tool row variant
03186fe93f1215fb2f322a42802aa6993a91b7c9,fix(sandbox): cancel sibling drain after child termination
032cd2f72dc5592ec976cfa3cd78c2aafbcb6041,docs: refresh event consumer graph after master merge
0334b4ad2e5589de9b6ef1452dcf20d02424e82a,chore: trim stale comments and duplicate strings
0378a72431dcde1526630f0fac4a60adf0c845a9,Align trajectory bundle test with session history
03973cb074bbd8439182c503ada91e5e14a9b9e5,test(acp-agent): refresh header pins for the new subagent tool wording
03ca568246bff66a92f25f7d6313769338bbbfe5,fix(host): refresh metric capacity metadata (round 6)
03d95d0d8499828a7719de159e6e082781097e60,fix(subagent): keep one-shot labels optional
03f91a547183919422aeb1d699af58d678a8984d,fix: retain local subagent completion identity
0405a211c84a8a78b7bbded5cb180012b9952ceb,test(session): preserve surface boundary coverage
042d752fd2ca7f8699011275b03a952935a0a54a,docs(repeat-guard): trim module orientation
044f65e46b6e62b38c3f2e181575d905a423e0ce,fix(subagent): tighten named Claude instance evidence
0478f5965ac8ce6ab7a34ed866021c08a1b8ebce,docs: address review sync gaps
04c0758fe9cff8941658d699244ae76f13ba9ebc,fix(history): adapt packed pages to session journal
04df615dd64f204e62cc865e00620f4e236c87c1,docs(rfc): propose agent execution context
04fe477e7e632993c3b5ca132bf92718600d8a72,docs: make Web UI the primary onboarding path
0517d7487538331b9468ab0fe1ff6e5f655f48d7,test(persistence): use stored-prefix lookup
055c505c6d84269459c9d306496da324e05b44f3,test(history): measure complete response parsing
05b67894254929a816527a34b24db47da45285bf,fix(subprocess): preserve clean range after start errors
05c57757109b3d187ed08f5de679a0e0e31ee99a,docs: describe code result fallback
0652b7b4d7a2955838edab1ce35e3825c8f38606,fix(subprocess): close containment review gaps
0659151cd50e597fb96b7773a9613038c6a907ab,test: refresh translation prompt snapshot
06f161a8c6ae35db5e311b6355c8b855b25e3203,docs: refresh module graph for token usage projection
07058e527cc87b81de4c2359bce67ff3244cf6a7,fix(snapshot): isolate concurrent spill roots
0708bd5ef2bf45e5d7e3e008cadacac060ac9c83,docs(code-runtime): refresh config catalog
07408ff0f127baddfc2236100ec17c68d15c0e91,fix(subprocess): preserve failed teardown state
075108dc08150e6bcd3d4b0f9815b4d94a0df40b,docs(config): refresh ACP process grace catalog
075b6b0756c2491e3f5f8bf9f4a7bddb67d4568a,fix(subagent-codex): drop unused initialize metadata gate
07b0efc49e3e10f0ac20164d6fa3ca0688ddb0ff,fix(web): hide session lineage in header
07f4047ff0d0d5e8f4eb24b0747e1a92b578b424,Use explicit ts specifiers for declarations
0815ff4db4857447de9da581a26cd0d8a61c160d,refactor: share loader smoke harness
0821ceb03337f2d44a7023b1c0809c47e15afd41,fix(sdk): mount local task registry for subagents
0852d5ab63b0a24ae2ca2edf91792f10377a3322,test: stabilize deep Code Mode worker coverage
0853f52f49a711d2e2abaea73d7a4ddf7c792608,docs: split README guidance by audience
0892831177c895b4139cb61b9c20a32b465fc923,docs: refresh LLM service catalog
0893aaa7cb9ec075caf78e4198598da7088eba22,test: rename golden snapshot files to expected
08a2c234c0b3f336d222e1575c1414faa06d4e99,refactor: remove codex/claude dep from direct builtin dep
08aed20139dfc56ab7852244e97d25cbf47d3f2f,test(ci): stabilize cross-platform consumer gates
08e09217bffce25eb444fd1a67fd0ada69aec1a3,docs(rfc): record parallel GitHub CI gates
08ec2622b0e79bd0c82f29ad82cdbffc4f966bfe,fix(i18n): share Markdown link parsing
08fc8467bc221d0c444567e9527973cccb0c723a,Add ask_user_question interaction tool
09326fd84ae550eb586a23168f6dbb395455332c,ci: split lint lane internally
096586886af57983cf8464e38d021619a3d73510,fix(review): address terminology feedback
096ae14db290d453016ae59c0cb973220d5ca05a,fix(subagent): bind preflight to provider route defaults
0998db87d869c423fceba3d3f89d18504babf773,test: align time context with full headers
09a2e120f3c5a6f300f3d7a3999a6dd3c3f0edd4,test(ui): strengthen TeX parser boundaries
09fcf48ad88c4e550208c15f8cbad3a921a23174,test(snapshot): refresh DSH diagnostic prompt
0a1a1b937946482a96cd56c0de868cff31ddc8ff,test(i18n): share structure signature fixture
0a25c0d2371eb3ecc84545ae5241821e2f2961f1,feat(web): add queue collapse control
0a95ad8cc03c1147990206b19e99e9a69b49077e,fix(sdk): mount task controls for subagents
0aa7f8c5cf6e682df87de52b24502b2036bc0761,fix(web): converge session search boundaries (round 9)
0aafe0f8f841c37bd952431ddcb5ec0ea6f6c861,test(subagent): align DSH SDK route evidence with profiles
0b036d808ce016448e89dc93ba312087fb3cd7eb,test: cover new defensive branches
0b0de64769a5a57294012ac03c3852be0103e4de,bound inactive subagent timing to projection cut
0b203534248379b166ebda9783a236960669962f,test(acp): clarify skill snapshot fixture
0b492e6e62be53abb8560d16f806a4078f56c651,fix: drain ACP test launcher streams
0b720942dfe6e8e018d537b80364dfbd201ed27e,review fix: qualify one-turn documentation
0bf50d3469ec464db9e41e88f056c0aa98365e60,test: wire user interaction in stdio readline spec
0c08e34a4ab2a7eaa399485fadfb385fd2c6c2f7,fix(invariants): harden runtime contracts and gates
0c232cf5b8477dcf4feed4c19d7fd34c2dfe1506,fix(subprocess): prioritize host-exit cleanup listener
0c59e3e0892be3ffe5886b8c55e94fa0003bcee6,fix: cr
